id,item,color,fabric
1,Turtleneck sweaters,Brown,Wool
1,Tulip skirts,Leopard,Silk
2,Jackets,Brown,Leather
2,Turtleneck sweaters,Brown,Wool
2,Boyfriend jeans,Blue,Denim
3,Leather trousers,Black,Leather
3,Shirts,White,Cotton
3,Sweaters,Brown,Wool
4,T-shirts,White,Cotton
4,Tailored trousers,Beige,Cotton
4,Jackets,Black,Leather
5,Winter dresses,Beige,Wool
5,Blazers,Black,Cotton
6,Turtleneck sweaters,Black,Wool
6,Blazers,Black,Cotton
6,High-waisted shorts,Cream,Cotton
7,Coats,Blue,Wool
7,Shirts,White,Cotton
7,Wide-leg trousers,Beige,Linen
8,Coats,Brown,Wool
8,Turtleneck sweaters,Brown,Cotton
8,Mini skirts,Black,Leather
9,Coats,Blue,Wool
9,Turtleneck sweaters,White,Cotton
9,Mini skirts,Black,Leather
10,Coats,Brown,Wool
10,Turtleneck sweaters,Black,Wool
10,Mini skirts,Black,Leather
11,Jackets,Brown,Leather
11,Leather trousers,Black,Leather
11,Turtleneck sweaters,Black,Wool
12,Jackets,Brown,Leather
12,Straight-leg trousers,White,Cotton
12,Turtleneck sweaters,White,Cotton
13,Coats,Brown,Wool
13,Straight-leg trousers,White,Cotton
13,Turtleneck sweaters,Brown,Wool
14,Jackets,Black,Leather
14,Mini skirts,Black,Cotton
14,Turtleneck sweaters,Beige,Cotton
15,Jackets,Black,Leather
15,Boyfriend jeans,Blue,Denim
15,Turtleneck sweaters,Beige,Cotton
16,Jackets,Black,Leather
16,Boyfriend jeans,Blue,Denim
16,Sweaters,Multicolor,Cotton
17,Coats,Brown,Wool
17,Straight jeans,Blue,Denim
17,Sweaters,Multicolor,Cotton
18,Jackets,Black,Leather
18,Tulip skirts,Leopard,Silk
18,Long-sleeved tops,Black,Velvet
19,Coats,Brown,Wool
19,Turtleneck sweaters,Black,Wool
19,Tulip skirts,Leopard,Silk
20,Other outerwear,Black,Down
20,Mini skirts,Black,Leather
20,Sweaters,Multicolor,Cotton
21,Jackets,Black,Leather
21,Maxi skirts,Floral,Silk
21,Turtleneck sweaters,Beige,Cotton
